f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,binary,family,mtype
2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,86.0,22.0,9.0,9.0,208.0,70.0,1.0,0.0,11.0,9.0,5.065891,5.4963574,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,qakbot,banker
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,17.0,2.0,1.0,574.0,248.0,2.0,0.0,1.0,0.0,5.2784324,5.437927,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,swisyn,trojan
2.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,102.0,24.0,9.0,9.0,2906.0,683.0,116.0,0.0,11.0,16.0,5.027607,5.3459296,29.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,qakbot,banker
1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,59.0,18.0,1.0,3.0,2945.0,706.0,114.0,0.0,5.0,3.0,5.004336,5.3416176,22.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,emotet,banker
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,18.0,1.0,3.0,2949.0,705.0,114.0,0.0,5.0,3.0,5.039516,5.337741,22.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,emotet,banker
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,11.0,2.0,2.0,135.0,28.0,2.0,0.0,1.0,1.0,5.1150823,5.343779,197.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,lokibot,pws
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,18.0,1.0,3.0,379.0,128.0,13.0,0.0,2.0,7.0,5.0831594,5.4818687,19.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,emotet,banker
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,17.0,1.0,2.0,280.0,102.0,0.0,0.0,2.0,5.0,5.0824933,5.424084,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,emotet,banker
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,17.0,1.0,5.0,2855.0,681.0,102.0,0.0,2.0,4.0,4.9464207,5.2892847,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,emotet,banker
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,17.0,2.0,1.0,574.0,248.0,2.0,0.0,1.0,0.0,5.291963,5.4379134,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,swisyn,trojan
